

                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
---------------------------------------------------------------------------------------------------------
                                   |    0      0|    0      0|  0    0|  144      0|  0    0| -144      0
                                   |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
                                   |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
1008- 18 HAND SHOT ( 2 PCBOX       |    0      0|    0      0|  0    0|    6      0|  0    0|   -6      0
1009- 288 HAND SHOT M.INDBOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
1012- 5 KA DHUM ( 5 P) ANBOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
1013- SKY SHOT (10 P ) COBOX       |    0      0|    0      0|  0    0|   80      0|  0    0|  -80      0
1014- PENTA SKY COCK     BOX       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
1015- CHHOTA FANCY 5 IN 1BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
1017- 1 3/4 FANCY PIPE 5 BOX       |    0      0|    0      0|  0    0|  160      0|  0    0| -160      0
1018- 1 3/4 FANC PIPE SUPBOX       |    0      0|    0      0|  0    0|   65      0|  0    0|  -65      0
1019- 2 1/2 F. P. MIX COLBOX       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
1021- 2 1/2 F. P. 5COL UVBOX       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
1022- 2 1/2 F. P. (3P)6COBOX       |    0      0|    0      0|  0    0|   13      0|  0    0|  -13      0
1023- 2 1/2 F. P. (3P)6COBOX       |    0      0|    0      0|  0    0|   13      0|  0    0|  -13      0
1025- 2 1/2 F. P. (3PCS) BOX       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
1027- 2 1/2 F. P. (3P)MIXBOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
1028- 2 1/2 F. P. (3P)3 IBOX       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
1029- PARACHUTE NIGHTOUT BOX       |    0      0|    0      0|  0    0|    7      0|  0    0|   -7      0
1030- 2 1/2 F. P.LONG(3P)BOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
1036- 3  FANCY PIPE (1P) BOX       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
1037- 3  FANCY PIPE (1P) BOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
1042- 3 1/2 F.P.(1P)COL WBOX       |    0      0|    0      0|  0    0|   11      0|  0    0|  -11      0
1043- 3 1/2 FANCY PIPE (1BOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
1048- 3 1/2 F. P. DOUBLE BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
1049- 3 1/2 F. P. DOUBLE BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
1055- 4"  F.P.(1P)4COL MIBOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
1060- COL SMOKE DHUA 5COLPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
1070- 8 SHOTS PAPER BONANBOX       |    0      0|    0      0|  0    0|    6      0|  0    0|   -6      0
1073- MONEY RAIN ( 1 PCS)BOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
1074- POP POP MULTI COLOUPKT       |    0      0|    0      0|  0    0|13200      0|  0    0|*****      0
1079- DHAGA (80 DABBI) INPKT       |    0      0|    0      0|  0    0|  480      0|  0    0| -480      0
1080- MATCHIS ONE SOUND ABOX       |    0      0|    0      0|  0    0|  500      0|  0    0| -500      0
1084- PATANG BALLOON (10 BOX       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
1087- BULLET ROCKET YUG (PCS       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
1091- ROBOT BLACK S-61 SOPCS       |    0      0|    0      0|  0    0|  108      0|  0    0| -108      0
1095- 86 COLOUR SOM (12 PPCS       |    0      0|    0      0|  0    0|   12      0|  0    0|  -12      0
1096- NICE BLACK SOM(12 PPCS       |    0      0|    0      0|  0    0|   36      0|  0    0|  -36      0
1097- NICE COLOUR SOM (12PCS       |    0      0|    0      0|  0    0|  120      0|  0    0| -120      0
1098- VATMAN BLACK SOM (1PCS       |    0      0|    0      0|  0    0|  132      0|  0    0| -132      0
1099- VATMAN COLOUR SOM (PCS       |    0      0|    0      0|  0    0|   36      0|  0    0|  -36      0
1100- DOLPHIN BLACK SOM(6PCS       |    0      0|    0      0|  0    0|   12      0|  0    0|  -12      0
1101- DOLPHIN COLOUR SOM PCS       |    0      0|    0      0|  0    0|   72      0|  0    0|  -72      0
1102- TIGER BLACK SOM(12 PCS       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
1103- TIGER COLOUR SOM (1PCS       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
1104- S-151 COLOUR SOM   PCS       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
1105- SPIDER BLACK SOM ( PCS       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
1106- SPIDER COLOUR SOM  PCS       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
1107- CAMANDO BLACK SOM (PCS       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
