SALES :
DATE    BILL NO.       ITEMWISE    BILL TOTAL      DIFF.
---------------------------------------------------------
07/04/2026 E /    5      4980.00      5315.00      -335.00
12/04/2026 E /   11     14075.00     14057.00        18.00
16/04/2026 E /   17     12725.00     12450.00       275.00
26/04/2026 E /   28     17280.00     18120.00      -840.00
27/04/2026 E /   34     18450.00     18018.00       432.00
29/04/2026 E /   39     18755.00     19255.00      -500.00
29/04/2026 E /   43     15725.00     15525.00       200.00
02/05/2026 E /   47        58.00     19000.00    -18942.00
02/05/2026 E /   49     13415.00     13290.00       125.00
02/05/2026 E /   50     20385.00     20835.00      -450.00
02/05/2026 E /   48      9780.00      9790.00       -10.00
03/05/2026 E /   51      1200.00      1185.00        15.00
06/05/2026 E /   55     23085.00     24200.00     -1115.00
08/05/2026 E /   58     10635.00     10560.00        75.00
08/05/2026 E /   57     31310.00     31043.00       267.00
09/05/2026 E /   60      6440.00      6460.00       -20.00
11/05/2026 E /   65     35964.00     32060.00      3904.00
12/05/2026 E /   66      6480.00      6280.00       200.00
01/06/2026 E /   74      6920.00      6900.00        20.00
08/07/2026 E /   87     11700.00     11550.00       150.00
15/07/2026 E /   91        49.00      9360.00     -9311.00
01/08/2026 E /   96    209062.50    190923.00     18139.50
02/08/2026 E /  100    246377.50    229407.00     16970.50
04/08/2026 E /  102    150783.00    140448.00     10335.00
09/08/2026 E /  105     15385.00     14945.00       440.00
15/08/2026 E /  112     46500.00     75500.00    -29000.00
                                       TOTAL :    -8957.00
--------------------------END--------------------------
